Single
3648
Scan 0,   
1781, 92.0
1782, 90.0
1783, 93.0
1784, 92.0
1785, 88.0
1786, 95.0
1787, 91.0
1788, 87.0
1789, 90.0
1790, 91.0
1791, 92.0
1792, 91.0
1793, 93.0
1794, 91.0
1795, 91.0
1796, 92.0
1797, 90.0
1798, 89.0
1799, 92.0
1800, 93.0
1801, 94.0
1802, 91.0
1803, 95.0
1804, 96.0
1805, 94.0
1806, 88.0
1807, 88.0
1808, 95.0
1809, 95.0
1810, 97.0
1811, 90.0
1812, 93.0
1813, 96.0
1814, 96.0
1815, 94.0
1816, 93.0
1817, 91.0
1818, 93.0
1819, 89.0
1820, 94.0
1821, 94.0
1822, 92.0
1823, 90.0
1824, 89.0
1825, 87.0
1826, 92.0
1827, 91.0
1828, 92.0
1829, 92.0
1830, 94.0
1831, 91.0
1832, 90.0
1833, 95.0
1834, 92.0
1835, 95.0
1836, 91.0
1837, 95.0
1838, 89.0
1839, 94.0
1840, 90.0
1841, 94.0
1842, 93.0
1843, 89.0
1844, 93.0
1845, 91.0
1846, 94.0
1847, 94.0
1848, 92.0
1849, 94.0
1850, 88.0
1851, 90.0
1852, 95.0
1853, 90.0
1854, 93.0
1855, 92.0
1856, 87.0
1857, 90.0
1858, 89.0
1859, 91.0
1860, 91.0
1861, 87.0
